ID_MN_RESI,SG_UF,DT_NOTIFIC,ocupacaoSuspeitoCli,ocupacaoSuspeitoUti,ocupacaoConfirmadoCli,ocupacaoConfirmadoUti,saidaSuspeitaObitos,saidaSuspeitaAltas,saidaConfirmadaObitos,saidaConfirmadaAltas,População Estimada (2019),Total de Enfermeiros,Enfermeiros do SUS,Enfermeiros a cada 100 mil habitantes,Enfermeiros do SUS a cada 100 mil habitantes,Total de médicos,Médicos do SUS,Médicos a cada 100 mil habitantes,Médicos do SUS a cada 100 mil habitantes,Total de Respiradores,Respiradores a cada 100 mil habitantes,Respiradores do SUS a cada 100 mil habitantes,Total de Respiradores do SUS,Total de Leitos de UTI,Leitos de UTI a cada 100 mil habitantes,Leitos de UTI do SUS,Leitos do SUS a cada 100 mil habitantes,Trabalhadores informais na unidade da Federação (julho 2019),Trabalhadores informais nas Regiões Metropolitas (julho 2019),Trabalhadores informais Capital (julho 2019),Trabalhadores informais no Interior (julho 2019)
VARZEA ALEGRE,CE,04/04/2020,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,40721.0,27.0,27.0,66.3048549888264,66.3048549888264,20.0,20.0,49.1147073991306,49.1147073991306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120595.9231,74479257,62646187,46116.6661
VARZEA ALEGRE,CE,05/04/2020,5.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,40721.0,27.0,27.0,66.3048549888264,66.3048549888264,20.0,20.0,49.1147073991306,49.1147073991306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120595.9231,74479257,62646187,46116.6661
VARZEA ALEGRE,CE,06/04/2020,7.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,40721.0,27.0,27.0,66.3048549888264,66.3048549888264,20.0,20.0,49.1147073991306,49.1147073991306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120595.9231,74479257,62646187,46116.6661
VARZEA ALEGRE,CE,07/04/2020,5.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,40721.0,27.0,27.0,66.3048549888264,66.3048549888264,20.0,20.0,49.1147073991306,49.1147073991306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120595.9231,74479257,62646187,46116.6661
VARZEA ALEGRE,CE,08/04/2020,12.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,40721.0,27.0,27.0,66.3048549888264,66.3048549888264,20.0,20.0,49.1147073991306,49.1147073991306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120595.9231,74479257,62646187,46116.6661
VARZEA ALEGRE,CE,09/04/2020,12.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,40721.0,27.0,27.0,66.3048549888264,66.3048549888264,20.0,20.0,49.1147073991306,49.1147073991306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120595.9231,74479257,62646187,46116.6661
VARZEA ALEGRE,CE,10/04/2020,8.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,40721.0,27.0,27.0,66.3048549888264,66.3048549888264,20.0,20.0,49.1147073991306,49.1147073991306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120595.9231,74479257,62646187,46116.6661
VARZEA ALEGRE,CE,11/04/2020,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,40721.0,27.0,27.0,66.3048549888264,66.3048549888264,20.0,20.0,49.1147073991306,49.1147073991306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120595.9231,74479257,62646187,46116.6661
VARZEA ALEGRE,CE,12/04/2020,5.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,40721.0,27.0,27.0,66.3048549888264,66.3048549888264,20.0,20.0,49.1147073991306,49.1147073991306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120595.9231,74479257,62646187,46116.6661
VARZEA ALEGRE,CE,13/04/2020,10.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,40721.0,27.0,27.0,66.3048549888264,66.3048549888264,20.0,20.0,49.1147073991306,49.1147073991306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120595.9231,74479257,62646187,46116.6661
VARZEA ALEGRE,CE,14/04/2020,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,40721.0,27.0,27.0,66.3048549888264,66.3048549888264,20.0,20.0,49.1147073991306,49.1147073991306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120595.9231,74479257,62646187,46116.6661
ITAPEMA,SC,16/04/2020,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65312.0,36.0,35.0,55.1200391964723,53.5889269965703,63.0,33.0,96.4600685938265,50.5267025967662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246144.9512,46269.2774,27553.9531,199875.6738
PARAGUACU,MG,21/04/2020,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21513.0,19.0,19.0,88.3186910240319,88.3186910240319,16.0,16.0,74.3736345465532,74.3736345465532,1.0,4.64835215915957,4.64835215915957,1.0,0.0,0.0,0.0,0.0,523712.9211,158439.5814,101411.9796,365273.3397
LAVRAS,MG,15/04/2020,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,103773.0,125.0,84.0,120.455224383991,80.9459107860426,260.0,196.0,250.546866718703,188.873791834099,48.0,46.2548061634529,39.5093135979493,41.0,20.0,19.2728359014387,17.0,16.3819105162229,523712.9211,158439.5814,101411.9796,365273.3397
TAILANDIA,PA,15/04/2020,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106339.0,55.0,55.0,51.7213816191613,51.7213816191613,25.0,24.0,23.5097189178006,22.5693301610885,6.0,5.64233254027214,5.64233254027214,6.0,0.0,0.0,0.0,0.0,84974.7556,39169.1001,27464.0629,45805.6555
SIMPLICIO MENDES,PI,01/04/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12711.0,19.0,19.0,149.47683109118,149.47683109118,11.0,11.0,86.5392180001573,86.5392180001573,3.0,23.6016049091338,23.6016049091338,3.0,0.0,0.0,0.0,0.0,38618654,15803.8533,13514.7062,22814.8007
SIMPLICIO MENDES,PI,02/04/2020,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,12711.0,19.0,19.0,149.47683109118,149.47683109118,11.0,11.0,86.5392180001573,86.5392180001573,3.0,23.6016049091338,23.6016049091338,3.0,0.0,0.0,0.0,0.0,38618654,15803.8533,13514.7062,22814.8007
PARANAIBA,MS,15/04/2020,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,42148.0,68.0,63.0,161.336243712631,149.473284616114,59.0,46.0,139.982917338901,109.139223687956,8.0,18.9807345544272,16.6081427351238,7.0,0.0,0.0,0.0,0.0,57649.7967,0.0,17245.9584,40403.8383
PORTO DE MOZ,PA,15/04/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41135.0,16.0,16.0,38.8963170049835,38.8963170049835,7.0,7.0,17.0171386896803,17.0171386896803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84974.7556,39169.1001,27464.0629,45805.6555
SIMPLICIO MENDES,PI,03/04/2020,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12711.0,19.0,19.0,149.47683109118,149.47683109118,11.0,11.0,86.5392180001573,86.5392180001573,3.0,23.6016049091338,23.6016049091338,3.0,0.0,0.0,0.0,0.0,38618654,15803.8533,13514.7062,22814.8007
SAO LOURENCO,MG,01/04/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45851.0,78.0,69.0,170.116246101502,150.487448474406,134.0,102.0,292.250986892325,222.459706440426,37.0,80.6961680225076,65.4293254236548,30.0,10.0,21.8097751412182,10.0,21.8097751412182,523712.9211,158439.5814,101411.9796,365273.3397
SAO LOURENCO,MG,02/04/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45851.0,78.0,69.0,170.116246101502,150.487448474406,134.0,102.0,292.250986892325,222.459706440426,37.0,80.6961680225076,65.4293254236548,30.0,10.0,21.8097751412182,10.0,21.8097751412182,523712.9211,158439.5814,101411.9796,365273.3397
BOM JESUS DO ITABAPOANA,RJ,15/04/2020,24.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,37096.0,43.0,41.0,115.915462583566,110.524045719215,116.0,76.0,312.702178132413,204.873840845374,7.0,18.8699590252318,16.1742505930558,6.0,10.0,26.9570843217597,5.0,13.4785421608798,400968.4169,283551.4756,178536.6888,117416.9413
PORTO DE MOZ,PA,15/04/2020,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41135.0,16.0,16.0,38.8963170049835,38.8963170049835,7.0,7.0,17.0171386896803,17.0171386896803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84974.7556,39169.1001,27464.0629,45805.6555
ITAPECERICA,MG,15/04/2020,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21762.0,18.0,15.0,82.7129859387924,68.9274882823269,12.0,9.0,55.1419906258615,41.3564929693961,2.0,9.19033177097693,9.19033177097693,2.0,0.0,0.0,0.0,0.0,523712.9211,158439.5814,101411.9796,365273.3397
MINDURI,MG,01/04/2020,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3894.0,7.0,7.0,179.763739085772,179.763739085772,6.0,6.0,154.083204930662,154.083204930662,1.0,25.6805341551104,25.6805341551104,1.0,0.0,0.0,0.0,0.0,523712.9211,158439.5814,101411.9796,365273.3397
ESTRELA,RS,15/04/2020,14.0,7.0,3.0,2.0,0.0,0.0,0.0,0.0,34116.0,64.0,59.0,187.595263219603,172.939383280572,151.0,143.0,442.607574158752,419.158166256301,37.0,108.453511548833,105.522335561027,36.0,10.0,29.311759878063,7.0,20.5182319146441,430250.6966,167971.8364,73727.5564,262278.8602
MINDURI,MG,02/04/2020,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3894.0,7.0,7.0,179.763739085772,179.763739085772,6.0,6.0,154.083204930662,154.083204930662,1.0,25.6805341551104,25.6805341551104,1.0,0.0,0.0,0.0,0.0,523712.9211,158439.5814,101411.9796,365273.3397
